"","district_code","area_name","desc","housing","safety","transit","shopping","health","entertainment","community","diversity","education","employment"
"1",89,"Runnymede-Bloor West Village","In 1970, a handful of Bloor West Village business owners, wary of losing customers to suburban shopping malls, banded together to create Canada’s first BIA. Outside their shops, they hung string lights, planted flowers and laid the groundwork for what has, almost 50 years later, become Toronto’s top neighbourhood. For residents, it’s the perfect Goldilocks district: bustling but cloistered from downtown, hip but not as precious as Roncesvalles, classy but not as pricy as Baby Point. It scores well in virtually every metric: it’s safe and accessible (Jane and Runnymede stations are nearby), and its charming old homes are relatively affordable (you can still get one for less than $1 million). The main drag is more quaint than happening, but trendy Bloor and Dundas West bars and restaurants are just a short walk away, as are a number of highly ranked schools and, of course, the sprawling High Park.","97.1","95.0","74.3","87.9","88.6","72.9","77.9","8.6","73.6","100.0"
"2",68,"North Riverdale","(Includes parts of Greektown, East Chinatown and Riverside)
Few homes offer a better—or more expensive—view of Toronto than those on the lip of Riverdale Park East, this lush ’hood’s majestic centrepiece, with soccer fields, tennis courts, a track and a swimming pool. Riverdalers are obsessed with their turf, and for good reason: there are buzzy restaurants along the Danforth, shopping deals galore on Gerrard and great schools, both public (Withrow Avenue) and private (Montcrest). Residents may have recently fumed about never-ending shoots for the film It at a decrepit mansion on Pape, but most of the area’s semis are quiet, well kept and clown free.","90.0","49.3","86.4","82.9","98.6","86.4","80.7","10.7","87.1","96.4"
"3",99,"Mount Pleasant East","(Includes parts of Davisville)
This neighbourhood is a bit of mess right now thanks to Crosstown construction along Eglinton. But come 2021, when the LRT is complete, that headache will become one of Mount Pleasant East’s biggest draws. Affluent young parents love the area, not least because of strong schools like Maurice Cody and Sunnybrook, and a ridiculously low crime rate. Plus, the district has copious health services and highly active residents. There’s easy access to the Yonge subway line and cute boutiques along Mount Pleasant. If there’s one knock, it’s a lack of green space—though a stroll through the cemetery is one of the most peaceful sojourns in the city.","92.1","98.6","72.9","61.4","100.0","72.1","48.6","9.3","68.6","95.7"
"4",66,"Danforth","(Includes parts of Greektown)
It's been a rough year for the Danforth. But in the face of tragedy, the resilient community has doubled down on what makes it special: vibrant streets, delicious food and a tight-knit population. Locals come from all income levels and live in a mix of second-floor apartments and modest houses that are still within reach for the average Torontonian. The area’s main draw may be its proximity to five subway stations, including Pape, the proposed terminus of a potential relief line (we can dream, right?).","78.6","62.9","89.3","87.9","87.1","93.6","72.1","13.6","62.1","81.4"
"5",105,"Lawrence Park North","(Includes parts of Wanless Park and Teddington Park)
First, the bad news: Lawrence Park North is a major trek from downtown. The good news: it’s healthy and wealthy—37 per cent of households earn more than $200,000 (no wonder homes easily go for more than $2 million). The area is populated by affluent families seeking safe streets and A-grade schools like Bedford Park and Blessed Sacrament. It is, essentially, a suburb—residents have to hop in their Audis to get anything beyond basic groceries.","83.6","87.1","81.4","37.1","97.9","75.0","76.4","3.6","70.7","99.3"
"6",98,"Rosedale-Moore Park","(Includes parts of Summerhill)
Rosedale evokes a certain archetype: high rollers who own mega-mansions, frequent golf and tennis clubs, and send their children to elite private schools like Branksome Hall. The stats bear that out, but they also suggest an evolving community: 50 per cent of the area’s residents now live in condos and high-rise apartment towers, taking advantage of local perks like easy access to the subway and the leafy Rosedale Valley. The neighbourhood falls behind on crime (burglars can’t resist the lure of jewellery-filled estates), and it’s lacking in shopping and entertainment options, but that’s nothing a short jaunt to Yorkville can’t fix.","96.4","46.4","97.1","64.3","90.7","64.3","61.4","4.3","88.6","90.7"
"7",67,"Playter Estates-Danforth","This mostly residential area borders Danforth and North Riverdale and offers many of the same benefits as its cousins: great food, instant transit access and stellar views of the core, at least from the houses and apartment towers that overlook the Don Valley. It also has its own perks (a plethora of doctors’ offices, clinics and mental health services) and pitfalls (a low rate of home ownership and a decrease in year-over-year housing prices). The score suffers from a dearth of public space, but a five-minute walk to Riverdale Park can easily solve that problem.","49.3","83.6","90.7","87.9","99.3","92.9","36.4","6.4","61.4","92.9"
"8",81,"Trinity-Bellwoods","(Includes parts of West Queen West)
Trinity Bellwoods park—the pooch-packed hipster haven at the heart of this neighbourhood—is the area’s main draw. Just like the park, the neighbourhood is filled with a young, childless and diverse cohort of Frisbee-flinging day drinkers. It’s also overflowing with everything they love: homey coffee shops, cute stationery stores and beloved dive bars. The safety quotient could be better—there’s a high number of assaults, vehicle thefts and robberies—but that hasn’t stopped house prices from soaring 10 per cent year over year.","74.3","28.6","88.6","96.4","65.0","97.9","52.9","38.6","77.9","82.1"
"9",56,"Leaside-Bennington","There are few better places in Toronto to raise a family than Leaside Bennington. Local schools like Leaside High rank well; the kid-friendly Science Centre, Sky Zone and Evergreen Brick Works are minutes away; and a sprawling retail district offers all the unglamorous big-box stores—Sobeys, Best Buy, Home Depot, a sparkling new Costco—that parents rely on. The area has a high level of house ownership, and residents get an excellent return on investment, with seven per cent year-over-year house price increases. But it has its flaws: the subways are a trek and the dining options are few (though carnivores make pilgrimages to Adamson Barbecue).","100.0","84.3","59.3","34.3","82.9","40.7","98.6","2.1","84.3","95.0"
"10",97,"Yonge-St. Clair","(Includes parts of Deer Park)
Many well-to-do condo dwellers skip over CityPlace and Liberty Village in favour of Yonge St. Clair, a midtown hub where 62 per cent of residents live in luxury high-rises. It’s clear why: the area is a superstar for transit (it has three subway stops) and green space (the nearby forested ravines). As the condo-dwelling population gets older, they’ll appreciate the area’s proximity to the city’s most prestigious schools, including De La Salle, St. Michael’s College and Upper Canada College.","55.7","90.7","76.4","48.6","91.4","89.3","25.0","10.0","94.3","97.1"
"11",63,"The Beaches","As the neighbourhood’s benchmark home price careens over $1 million, buying into the Beaches isn’t cheap. But those who live there find it’s worth the price of admission. The housing stock is gorgeous and quaint, and the lively Queen Street strip is lined with cafés and homey restaurants. The streets slope gently down to the lakeshore, where many of them dead-end at Kew-Balmy Beach, a strip of sand that teems with sun-seekers in the warmer months and transforms into an outdoor sculpture garden in the winter. And the area is super-kid-friendly, with a low crime rate and great public schools (Kew Beach Junior Public School has excellent EQAO scores and a reputation to match).","87.9","53.6","62.9","64.3","70.0","83.6","91.4","0.7","55.7","98.6"
"12",80,"Palmerston-Little Italy","(Includes parts of Bickford Park, Seaton Village and Koreatown)
This downtown pocket offers two neighbourhoods in one. The north end abuts Bloor West, home to newer arrivals like Kinton Ramen, Barrio Coreano and Basecamp, a rock-climbing gym in an old porn theatre. At the southern border is Little Italy, whose culinary bucket list includes Bar Raval, Woodlot and Doma. Considering that the area is nestled so nicely between two of Toronto’s most active commercial strips, Palmerston’s real estate is surprisingly affordable, with an average benchmark price just slightly more than $700,000.","69.3","43.6","87.1","92.9","60.0","96.4","27.9","19.3","93.6","77.9"
"13",39,"Bedford Park-Nortown","(Includes parts of Ledbury Park and Caribou Park)
Wealthy homeowners have a lot to like here: Avenue Road, the neighbourhood’s main commercial artery, is home to both the Pusateri’s flagship store and Havergal College, one of the city’s most prestigious private girls’ schools. There are plenty of public amenities to go around, including an idyllic ravine system with tennis courts, public gardens and jogging paths. And Bathurst Street is the city’s main Jewish retail strip, where locals nosh on Gryfe’s bagels and kvetch about the mid-rise condo development happening in the neighbourhood.","82.1","44.3","80.0","50.7","95.0","55.0","88.6","12.1","75.0","88.6"
"14",71,"Cabbagetown-South St. James Town","From the street, Cabbagetown looks like a living museum of Victorian Toronto, with many homes appearing exactly as they did in the 19th century. For a low-rise district, it has a high concentration of restaurants, from ordinary pubs to top-notch spots like Kingyo Izakaya and F’Amelia. Abundant green space is a plus: follow any street far enough east and you’ll wind up at Riverdale Farm, where the resident cows and chickens have been delighting children since the 1970s.","64.3","30.7","84.3","93.6","92.9","78.6","50.7","18.6","76.4","68.6"
"15",104,"Mount Pleasant West","(Includes parts of Davisville)
South of the rapidly developing Yonge-Eglinton nexus, Mount Pleasant West is a prime location for younger Torontonians looking for an urban lifestyle without the hassles and expenses of living downtown. The apartment stock here is plentiful, with the majority of housing in buildings of five storeys or more. The area is one of the city’s safer spots, with few reported thefts or assaults. Excellent schools like Northern Secondary and North Toronto Collegiate make the neighbourhood a fine place to raise a family—assuming you can find a condo large enough, or an increasingly rare single-family home. There are plenty of bars and restaurants along Eglinton, and with a subway station in easy walking distance, it’s easy to escape to other parts of the city.","23.6","64.3","80.0","92.1","95.7","95.0","17.9","37.1","90.0","71.4"
"16",59,"Danforth-East York","(Includes parts of Greektown, Pape Village and Woodbine Heights)
Greektown, one of the tightest-knit communities in Toronto, has something for everyone. There’s lush nature to the north (the Don Valley), reliable medical care to the east (Michael Garron Hospital), a library in the centre (S. Walter Stewart) and a plethora of sturdy, mid-century semis that are ideal for families looking to put down roots. The neighbourhood is blissfully walkable, which means residents can—nay, must—pub-crawl their way from the Only Cafe to the Wren in 10 minutes flat.","85.7","80.7","60.0","72.9","63.6","50.0","95.7","27.9","16.4","72.1"
